time,Lx,V,pressure,U,T,work_cum,dS_IG,delta_a,alpha,alpha_over_T,PV_gamma,T_V_gamma_minus1,impulse_events
10.5,19.5,7800,0.336472359924,4613.17913366,0.336925148529,98.9594568394,-1.1963997503,0.942843546233,0.230661005112,0.6846931662,1032223.47586,132.514427191,15
10.7,19.49,7796,0.429143575558,4614.61942115,0.337030340428,100.676031142,-0.408093904659,1.5790557387,-0.138768251324,-0.411802421963,1315393.42316,132.51047762,23
10.9,19.48,7792,0.581214554856,4616.55083407,0.337171401846,103.000889361,1.04485145935,2.67707855658,-0.745665628015,-2.21199555344,1779992.0169,132.520590025,32
11.1,19.47,7788,0.59751606328,4618.52338474,0.337315467772,105.390953614,1.16200629244,2.78194324645,-0.809392580641,-2.40002472131,1828350.64726,132.531837199,29
11.3,19.46,7784,0.320459969592,4620.32581694,0.337447109037,106.672793493,0.652976346021,1.50214187929,0.300290316229,0.890062153857,979742.2405,132.53815784,17
11.5,19.45,7780,0.482727820595,4622.56173039,0.337610409757,108.603704775,1.93251130872,2.58318942693,-0.347275970761,-1.02887816547,1474579.94776,132.556865813,30
11.7,19.44,7776,0.580403263378,4624.79491867,0.337773511442,110.925317828,1.91882695468,2.96958548989,-0.736397214029,-2.18067736265,1771428.38253,132.575443925,28
11.9,19.43,7772,0.503984210368,4626.82122664,0.337921503553,112.94125467,1.30101868268,2.45548276062,-0.429174786674,-1.27032100918,1536873.95314,132.588041889,25
12.1,19.42,7768,0.678946035489,4628.97298388,0.338078657894,115.657038812,1.66704507518,3.27924551194,-1.12748827082,-3.33576331819,2068635.3961,132.604185892,37
12.3,19.41,7764,0.408498731189,4630.8847814,0.338218286693,117.291033737,0.952202703071,1.95598081411,-0.0441832994219,-0.130662425065,1243559.55788,132.613408099,23
12.5,19.4,7760,0.423553513568,4632.60565924,0.338343971607,118.985247791,0.383181051046,1.82383697289,-0.10295913193,-0.304359667323,1288282.64873,132.617119438,23
12.7,19.39,7756,0.64927321408,4634.67876813,0.338495381838,121.582340647,1.41948448617,3.07747433724,-1.00436544695,-2.96781043192,1973136.60554,132.630868905,36
12.9,19.38,7752,0.399702248907,4636.03344513,0.338594321146,123.181149643,-0.707325728035,1.35934751207,-0.0046705100702,-0.0137958384232,1213648.3372,132.624017401,25
13.1,19.37,7748,0.301035955795,4637.38905931,0.338693328901,124.385293466,-0.70815812961,0.964330445448,0.391283730224,1.15544327494,913273.923801,132.617158187,20
13.3,19.36,7744,0.538404270405,4639.36766615,0.338837837142,126.538910548,1.12697844139,2.53539859037,-0.556791751164,-1.64359007842,1631989.66087,132.628074257,27
13.5,19.35,7740,0.647636810976,4641.76014979,0.33901257302,129.129457792,2.34293736,3.38462776913,-0.992144124175,-2.92732469967,1961401.30575,132.65077115,30
13.7,19.34,7736,0.633369456177,4643.37272498,0.339130348012,131.662935616,0.0373244602131,2.54613348395,-0.933558295559,-2.7532788933,1916539.98506,132.651132757,32
13.9,19.33,7732,0.411534386881,4645.14041161,0.339259451622,133.309073164,0.490446283813,1.81249442563,-0.0448077966682,-0.13210044341,1244206.70855,132.655884395,23
14.1,19.32,7728,0.513085683924,4647.05441478,0.339399241512,135.3614159,0.917131846931,2.36355248603,-0.449549311495,-1.32481707239,1549893.12864,132.664770388,31
14.3,19.31,7724,0.543948199882,4649.01160734,0.339542185753,137.537208699,1.03956311593,2.52869403236,-0.571501478068,-1.68350745769,1641703.22895,132.674843323,27
14.5,19.3,7720,0.319292304893,4650.71793324,0.339666807862,138.814377919,0.296141500301,1.37774020477,0.328585703613,0.967554042133,962832.229301,132.677712952,22
14.7,19.29,7716,0.366036482739,4652.54356817,0.339800143746,140.27852385,0.642967609633,1.68258355181,0.143051369554,0.421069396282,1102837.19547,132.683943559,19
14.9,19.28,7712,0.589613783067,4654.24718281,0.339924567836,142.636978982,0.279448210912,2.45342905955,-0.749814418518,-2.20622968605,1774922.22983,132.686651613,31
15.1,19.27,7708,0.484582073181,4655.68128039,0.340029307654,144.575307275,-0.517447836302,1.76240796189,-0.328310375484,-0.965684253944,1457483.07518,132.681637216,27
15.3,19.26,7704,0.503182505251,4657.8310974,0.340186320289,146.588037296,1.58286068055,2.55107330688,-0.401256300741,-1.17979147864,1512119.06796,132.696976734,25
15.5,19.25,7700,0.587672882626,4659.57865013,0.340313953413,148.938728826,0.395495467807,2.48525891755,-0.737706186688,-2.16812899332,1764494.02957,132.700809761,32
15.7,19.24,7696,0.574551138735,4661.85620902,0.340480295722,151.236933381,1.94783745995,2.96124282543,-0.683683933612,-2.00848915654,1723602.52427,132.719689253,29
