time,Lx,V,dt,events,P_impulse_proxy,P_IG,U,T,W_cum,PV_gamma(IG),T*V^(gamma-1),alpha_upper,alpha_IG,sigma_upper,sigma_IG
9.2,18.26,7304,0.5,83,0.654222733859,0.451857019914,4950.54551018,0.361564819616,473.582598154,1242421.54691,136.111037129,-2.64037335542,-8.18681834292,7.3200229388,22.6966758102
9.7,18.16,7264,0.5,88,0.797576473508,0.456626740067,4975.40495977,0.363380438196,505.485657094,1244097.44844,136.294637209,-7.04360934286,-13.7336519857,19.4321137133,37.8887973614
10.2,18.06,7224,0.5,93,0.69164888329,0.461317057046,4998.83163015,0.365091413245,533.151612426,1245362.37788,136.433214053,-4.2392849515,-9.30733481048,11.6388435411,25.5530389872
10.7,17.96,7184,0.5,95,0.674941887801,0.465667045843,5018.02808601,0.3664934331,560.149287938,1245525.75159,136.451112138,-7.80121965789,-8.45821085571,21.3269033574,23.1229799194
11.2,17.86,7144,0.5,97,0.775126980444,0.470438821675,5041.22241307,0.368187438874,591.154367156,1246633.79683,136.572501844,-7.8107521597,-12.2832207649,21.2629794994,33.4382484516
11.7,17.76,7104,0.5,82,0.629922657229,0.47522965054,5064.04715615,0.369854451954,616.351273445,1247599.28526,136.678274021,-2.37216320541,-6.28379496818,6.42826168782,17.0282880857
12.2,17.66,7064,0.5,91,0.681840383263,0.480061236358,5086.72886045,0.371511018146,643.624888775,1248478.66036,136.774612222,-4.59191102667,-8.16805739613,12.3877121659,22.035170845
12.7,17.56,7024,0.5,70,0.629112537888,0.484725553322,5107.0684298,0.372996525694,668.789390291,1248734.43101,136.80263267,-4.82493216572,-5.86900573023,12.9614057121,15.766141737
13.2,17.46,6984,0.5,74,0.562401079136,0.48939569478,5126.90929851,0.374445610467,691.285433456,1248821.96584,136.812222375,-2.65517445589,-3.0138568222,7.10469567459,8.06445523042
13.7,17.36,6944,0.5,88,0.734191355874,0.494260213592,5148.21438477,0.37600163488,720.653087691,1249218.7846,136.85569507,-8.06256797596,-9.69479192233,21.4873677689,25.8373709343
14.2,17.26,6904,0.5,99,0.808879593238,0.499236674387,5170.09499995,0.377599693248,753.008271421,1249705.80174,136.90904927,-10.4745685483,-12.4855109972,27.7986998095,33.1355864997
14.7,17.16,6864,0.5,80,0.677062948969,0.504136695887,5190.59142086,0.379096656504,780.09078938,1249809.34827,136.920393106,-6.58609705686,-7.01530555057,17.4075031788,18.5419304662
15.2,17.06,6824,0.5,85,0.703800829644,0.509671742913,5216.99996046,0.381025413413,808.242822565,1251283.12166,137.081849436,-1.74349358541,-7.87618686886,4.58740419312,20.7234789794
15.7,16.96,6784,0.5,100,0.747350715757,0.51478717253,5238.47426766,0.382593796937,838.136851196,1251519.00414,137.107691076,-8.41972142365,-9.40512223752,22.052146697,24.6330163255
16.2,16.86,6744,0.5,69,0.542026855868,0.520242335856,5262.77146952,0.384368351557,859.81792543,1252376.64575,137.201648307,2.6161276186,-0.980789697912,-6.82205144996,2.55759609477
16.7,16.76,6704,0.5,97,0.737738062893,0.526066320128,5290.12291521,0.386365973941,889.327447946,1253902.70984,137.368833243,-2.15807682588,-8.58369538983,5.6000537526,22.2740705996
17.2,16.66,6664,0.5,88,0.710887263961,0.531610863643,5313.98219298,0.388108544623,917.762938504,1254542.83566,137.438960961,-4.5762127859,-7.28225582444,11.8175941912,18.8056692632
17.7,16.56,6624,0.5,95,0.703871940404,0.53685918163,5334.23282867,0.389587556871,945.917816121,1254279.30878,137.410090795,-7.90424192219,-6.78575255251,20.327328135,17.4509105536
18.2,16.46,6584,0.5,107,0.91159554217,0.543411752147,5366.73446421,0.391961325168,982.381637807,1256836.34238,137.690221558,-3.96218615222,-14.8588337875,10.139317561,38.024067666
18.7,16.36,6544,0.5,80,0.570036555653,0.549573575473,5394.61421684,0.393997532635,1005.18310003,1258243.39887,137.844368851,5.07829041086,-0.942125895351,-12.9225349659,2.39739239783
19.2,16.26,6504,0.5,86,0.680549415358,0.556027483811,5424.60413206,0.396187856563,1032.40507665,1260077.17965,138.04526508,2.7679386001,-5.11035867242,-7.00579544481,12.9345815356
19.7,16.16,6464,0.5,81,0.629270467845,0.562903381786,5457.91118979,0.398620449152,1057.57589536,1262610.61853,138.322810969,8.1362390217,-2.79265860682,-20.4734625021,7.02725068861
20.2,16.06,6424,0.5,89,0.693183674037,0.569481562238,5487.52433372,0.400783255457,1085.30324232,1264218.73354,138.498984832,1.88579696576,-5.0800559463,-4.71800907323,12.7096132205
20.7,15.96,6384,0.5,97,0.793541056938,0.577147031397,5526.75997266,0.403648844045,1117.0448846,1267966.93955,138.909612133,7.49399666349,-8.8096406046,-18.6317693392,21.9027575107
21.2,15.86,6344,0.5,91,0.718575939364,0.584182501704,5559.08068622,0.406009398643,1145.78792218,1270049.07168,139.137716003,3.57767597942,-5.51690422965,-8.83749659003,13.627735602
21.7,15.76,6304,0.5,94,0.686324827916,0.591295140537,5591.28684892,0.408361586979,1173.24091529,1272031.8452,139.354934838,4.75316958518,-3.94390133729,-11.6732292017,9.68576092941
22.2,15.66,6264,0.5,87,0.717654752052,0.598929358159,5627.54024926,0.41100936673,1201.94710537,1274858.10732,139.664560399,7.54721026458,-4.90223187218,-18.4219619463,11.9658424551
22.7,15.56,6224,0.5,93,0.651937543752,0.605829082061,5656.02031013,0.413089417917,1228.02460712,1275849.42988,139.773162783,2.40255911095,-1.9827530302,-5.83075513691,4.81193048002
23.2,15.46,6184,0.5,77,0.578653861731,0.613114776915,5687.25267066,0.415370484273,1251.17076159,1277392.17526,139.942175204,8.0862060671,1.23225849352,-19.5210559877,-2.97481746616
23.7,15.36,6144,0.5,100,0.743797940254,0.620937945179,5722.56410277,0.417949467044,1280.9226792,1279774.77334,140.203196028,5.55951449348,-5.07139696387,-13.3430490526,12.1715481691
24.2,15.26,6104,0.5,102,0.800430046914,0.628933887408,5758.51867311,0.420575421641,1312.93988108,1282219.97145,140.471074874,3.93736846432,-7.02031616149,-9.39117852662,16.7444431435
24.7,15.16,6064,0.5,85,0.664493972453,0.636624727257,5790.73851913,0.422928609344,1339.51963998,1283755.02775,140.639244933,5.6400871282,-1.2690846632,-13.3729938946,3.009077886
25.2,15.06,6024,0.5,79,0.601958719161,0.644215848732,5821.13440914,0.425148583782,1363.59798874,1284812.2743,140.75506949,6.31754124572,1.53798443651,-14.8985052232,-3.62699162051
25.7,14.96,5984,0.5,92,0.705227935801,0.652492446447,5856.77219931,0.427751402228,1391.80710618,1286949.37471,140.989195301,7.42867273373,-2.27551764358,-17.4197979964,5.33595422887
26.2,14.86,5944,0.5,81,0.616936279614,0.660229772124,5886.60864826,0.429930517693,1416.48455736,1287734.81958,141.075243162,5.15899776279,1.57650846631,-12.0300956403,-3.6762077635
26.7,14.76,5904,0.5,100,0.793535251811,0.668989150741,5924.56791896,0.432702886281,1448.22596743,1290217.6818,141.347248226,6.21786062799,-5.15765275567,-14.4159978024,11.9579249584
27.2,14.66,5864,0.5,96,0.763656840279,0.67745136753,5958.8622288,0.435207583173,1478.77224104,1291818.18305,141.522587977,3.74803622881,-3.6180300151,-8.63691903882,8.33733465016
27.7,14.56,5824,0.5,86,0.675039252918,0.685840885272,5991.50597374,0.43759173048,1505.77381116,1292981.51223,141.650034206,5.64217482182,0.263725961676,-12.9289167248,-0.604322110594
28.2,14.46,5784,0.5,84,0.667697161568,0.694276311017,6023.54127438,0.439931439847,1532.48169762,1293936.07451,141.75460939,5.3274141844,0.893909448136,-12.1419339444,-2.03734665559
28.7,14.36,5744,0.5,102,0.759521594026,0.703203757329,6058.80357314,0.442506834147,1562.86256139,1295503.43238,141.926318183,4.88143499943,-2.43186987736,-11.0635160402,5.51170534875
29.2,14.26,5704,0.5,109,0.878088642161,0.71262295149,6097.20197295,0.445311274682,1597.98610707,1297654.27055,142.161949008,3.27485411653,-6.80768221694,-7.3773086716,15.335758866
29.7,14.16,5664,0.5,98,0.840130484368,0.721890518048,6133.18184134,0.447939076931,1631.59132645,1299202.19382,142.331528683,2.37464901703,-4.91558756407,-5.31687228052,11.0060691388
30.2,14.06,5624,0.5,85,0.683072334851,0.730522438423,6162.68729054,0.450094017714,1658.91421984,1299298.92792,142.342126196,2.18255580442,1.72481892818,-4.86074693112,-3.84132597888
30.7,13.96,5584,0.5,113,1.00623739308,0.74059578639,6203.2303068,0.453055091061,1699.16371556,1301638.1017,142.598389757,0.293520543726,-10.8278705941,-0.649993541209,23.9780352743
31.2,13.86,5544,0.5,111,0.884247066616,0.750204854878,6238.70357317,0.455645893454,1734.53359823,1302822.46805,142.728140672,0.103383697493,-5.55452834851,-0.227541731009,12.2252059658
31.7,13.76,5504,0.5,114,1.0297113814,0.760723168072,6280.5304756,0.458700735875,1775.72205348,1305240.93319,142.99309084,0.638447178531,-10.9706800342,-1.39651015939,23.9967637707
32.2,13.66,5464,0.5,111,0.9081209785,0.770958416866,6318.77518464,0.461493951551,1812.04689262,1306818.99553,143.165972342,1.91986989637,-5.69193564693,-4.17274718622,12.3711552016
32.7,13.56,5424,0.5,130,1.15877186568,0.782267141515,6364.52546336,0.46483533913,1858.39776725,1309848.97087,143.497915301,-0.60059590071,-15.2872530464,1.29672224932,33.0060880082
33.2,13.46,5384,0.5,133,1.23781993323,0.793992952363,6412.28708328,0.468323625714,1907.91056458,1313182.43875,143.863106786,-1.75117741278,-17.9885419267,3.75322421743,38.5540783605
33.7,13.36,5344,0.5,124,1.15211647038,0.805476033949,6456.69588813,0.47156703828,1953.9952234,1315719.68414,144.141069691,-1.67585396321,-14.0961634374,3.56606151631,29.9953260042
34.2,13.26,5304,0.5,142,1.27491640222,0.817579734018,6504.66436384,0.47507043265,2004.99187948,1318871.98549,144.486413836,-3.02818037792,-18.5365164083,6.3977614893,39.1628621885
34.7,13.16,5264,0.5,120,1.13431606155,0.829127103577,6546.78760985,0.478146918627,2050.36452195,1320730.61939,144.690032799,-3.24939645922,-12.4393688377,6.81774509216,26.0997532642
35.2,13.06,5224,0.5,134,1.36453828166,0.841789328747,6596.26118006,0.4817602381,2104.94605321,1323961.52072,145.043987809,-5.10796104842,-21.1642401109,10.6426147834,44.0964315405
35.7,12.96,5184,0.5,124,1.11184196178,0.853562710508,6637.30363691,0.484757788264,2149.41973168,1325390.20069,145.200504019,-3.43122162449,-10.5675072916,7.10017098678,21.8671706132
36.2,12.86,5144,0.5,154,1.4232248047,0.866813934264,6688.33631678,0.488484977854,2206.34872387,1328701.67951,145.563286537,-5.89631231777,-22.5225631801,12.1168376957,46.283546026
36.7,12.76,5104,0.5,131,1.24386635249,0.879589920647,6734.14043247,0.491830297434,2256.10337797,1330856.87854,145.799395107,-3.95053840914,-14.8275747728,8.05973039229,30.2506247664
37.2,12.66,5064,0.5,135,1.24162975942,0.892439450481,6778.97006586,0.495104445359,2305.76856835,1332707.74556,146.002163185,-4.83555699126,-14.2255955759,9.79914229703,28.8278342206
37.7,12.56,5024,0.5,137,1.25643715137,0.905759876798,6825.80643155,0.498525155678,2356.0260544,1334839.74605,146.235730286,-3.42112036563,-14.294552408,6.88610798644,28.7723964605
38.2,12.46,4984,0.5,153,1.28749813884,0.919517180306,6874.31043996,0.502067662866,2407.52597996,1337180.09798,146.492122917,-2.99591713606,-14.9954923942,5.98828430613,29.9732161101
38.7,12.36,4944,0.5,154,1.38883514936,0.933549392183,6923.20229243,0.50563849638,2463.07938593,1339475.3855,146.743578604,-6.66155350641,-18.4932093488,13.2212221694,36.703575103
39.2,12.26,4904,0.5,166,1.39223949782,0.948325596046,6975.88308451,0.509486056421,2518.76896584,1342378.25515,147.061596752,-3.00878783181,-18.0533257875,5.92791854656,35.5686910296
39.7,12.16,4864,0.5,171,1.52971254925,0.963033963799,7026.29579988,0.513167966687,2579.95746781,1344716.9557,147.317808468,-10.7757866023,-22.962519543,21.0741587258,44.9076990343
40.2,12.06,4824,0.5,141,1.35096114554,0.978180164185,7078.11166804,0.516952356708,2633.99591364,1347196.72081,147.589474234,-2.22257765881,-15.2154264807,4.31518068003,29.5410664854
40.7,11.96,4784,0.5,166,1.65125257436,0.99447901661,7136.38142319,0.521208108617,2700.04601661,1350768.45227,147.980768215,-7.78034782717,-26.5983749335,14.9887191567,51.2413558825
41.2,11.86,4744,0.5,135,1.26997673124,1.01045350936,7190.38717263,0.525152437382,2750.84508586,1353393.65834,148.268367478,3.20668018981,-10.7017802332,-6.12920699671,20.4552441777
41.7,11.76,4704,0.5,153,1.5190608677,1.02701265809,7246.60131548,0.52925805693,2811.60752057,1356296.53266,148.586386137,-4.54829185351,-20.0145541241,8.62717485845,37.9634956824
42.2,11.66,4664,0.5,169,1.4322967852,1.04383768613,7302.68845219,0.53335440054,2868.89939198,1359034.68834,148.886359371,-1.20473469768,-15.876327474,2.26749590448,29.8816889683
42.7,11.56,4624,0.5,145,1.3378519173,1.06104674565,7359.4202278,0.537497825577,2922.41346867,1361750.5521,149.183890458,3.21769891271,-11.4178931802,-6.00960400369,21.3248717268
43.2,11.46,4584,0.5,166,1.50209685353,1.07939974575,7421.95265176,0.542064902992,2982.49734281,1365389.81735,149.582582971,2.44854982256,-17.2766426201,-4.53618813945,32.0067415499
43.7,11.36,4544,0.5,151,1.34419036604,1.09808588442,7484.55338823,0.546636969634,3036.26495745,1368884.62836,149.965450083,8.83312182436,-10.2196290013,-16.2268882721,18.7739715679
44.2,11.26,4504,0.5,158,1.49620386401,1.11724927825,7548.13612389,0.55128075693,3096.11311201,1372400.03096,150.350573068,3.73458109606,-15.5432362106,-6.8030254102,28.3140272437
44.7,11.16,4464,0.5,172,1.59089123985,1.13668827425,7611.26468436,0.555891373383,3159.7487616,1375672.3969,150.709070651,-0.507089119576,-18.5586986106,0.916007738439,33.5245046411
45.2,11.06,4424,0.5,180,1.60286693553,1.15759697753,7681.8135429,0.561043933896,3223.86343903,1380117.02927,151.195993566,6.43418111611,-18.2310450301,-11.5211347948,32.6447644931
45.7,10.96,4384,0.5,167,1.62382896467,1.1788044175,7751.81784947,0.566156722865,3288.81659761,1384286.54333,151.652776438,5.05114798122,-18.2272157488,-8.96228715078,32.3406762398
46.2,10.86,4344,0.5,150,1.27109310995,1.19906868375,7813.13154332,0.570634789901,3339.66032201,1386735.88763,151.921109513,10.4699694575,-3.28810397431,-18.4202104606,5.78488480498
46.7,10.76,4304,0.5,175,1.69175127746,1.22090224126,7882.14486956,0.575675202276,3407.33037311,1390383.68191,152.320736406,1.34327514035,-19.2727519934,-2.34365075681,33.6257244984
47.2,10.66,4264,0.5,167,1.60557755621,1.24295708743,7949.95353121,0.580627631552,3471.55347536,1393642.75613,152.677777841,3.58555939769,-14.9480315901,-6.20176530367,25.8548732266
47.7,10.56,4224,0.5,187,1.62243107383,1.26595529283,8021.09273538,0.585823308164,3536.45071831,1397306.08845,153.079106973,6.24196121972,-14.721261987,-10.7024839317,25.2411164255
48.2,10.46,4184,0.5,202,1.97444364832,1.29064407868,8100.08223781,0.59159233405,3615.42846424,1402144.00575,153.609115441,0.0117564992344,-27.848353961,-0.0199700068742,47.3042024626
48.695049505,10.360990099,4144.3960396,0.49504950495,194,1.77918051537,1.31430458636,8170.49808379,0.596735179944,3685.89105891,1405394.03779,153.965166278,-0.0467486883405,-18.881731589,0.0786798046667,31.7786660103
49.195049505,10.260990099,4104.3960396,0.5,192,1.83647502669,1.3394987332,8246.74994339,0.60230426113,3759.35005998,1409368.00161,154.400526031,2.79285853245,-20.3855104148,-4.65849318509,34.0030689843
49.695049505,10.160990099,4064.3960396,0.5,206,2.0857456525,1.36617929758,8329.04058971,0.608314387212,3842.77988608,1414168.19561,154.926401797,-1.13917977776,-29.3191219867,1.88197956363,48.4365940123
50.1804863982,10.0639027204,4025.56108815,0.485436893204,199,1.96233226051,1.39137454298,8401.59482892,0.613613411402,3918.98696416,1417385.83723,155.278904167,-3.65283887215,-22.6647353454,5.97881294835,37.0966850433
50.5,10,4000,0.319513601846,126,1.89058338446,1.40880410859,8452.82465157,0.617354999384,3967.3123327,1419985.56128,155.563711796,2.90445410709,-12.5383081096,-4.71897423467,20.3714538891
