time,Lx,V,dt,events,P_impulse_proxy,P_IG,U,T,W_cum,PV_gamma(IG),T*V^(gamma-1),alpha_upper,alpha_IG,sigma_upper,sigma_IG
0.7,19.99,7996,0.2,23,0.349046981659,0.376771295742,4518.99492113,0.330046371687,1.39618792664,1204663.59038,131.974538824,0.0126636717195,0.110285543491,-0.0383753531036,-0.334203757601
1.1,19.97,7988,0.4,56,0.534633177618,0.377505490684,4523.27078937,0.330358661216,5.67325334758,1204999.03654,132.011287964,-0.00119718175218,-1.25995981188,0.00362559851161,3.81571838223
1.6,19.945,7978,0.5,71,0.556700273286,0.378433118855,4528.70913334,0.330755852566,11.2402560804,1205440.71731,132.059675428,-0.128658766851,-1.78731275025,0.389217795614,5.40696872627
2.1,19.92,7968,0.5,69,0.531737660525,0.379344830836,4533.92941816,0.331137117891,16.5576326857,1205821.56401,132.101398336,-0.0970917864474,-1.52848979622,0.293376091849,4.61854065367
2.6,19.895,7958,0.5,67,0.556372613733,0.380270644072,4539.29067828,0.331528679396,22.121358823,1206237.12715,132.146924534,-0.202466010943,-1.7656517942,0.611065221026,5.32893594761
3.1,19.87,7948,0.5,58,0.430235746319,0.381120080866,4543.71360409,0.331851709326,26.4237162862,1206400.74304,132.16484915,0.120568340166,-0.495406356687,-0.363496848009,1.49358155625
3.6,19.845,7938,0.5,77,0.548378426792,0.382063727714,4549.23280589,0.332254806156,31.9075005541,1206852.79241,132.214372525,0.0354175375297,-1.66786836885,-0.106662219701,5.02289415919
4.1,19.82,7928,0.5,67,0.466442509951,0.382933251524,4553.84222712,0.332591456845,36.5719256536,1207060.8065,132.237161098,-0.0550038691466,-0.839442830992,0.165463422772,2.52522388319
4.6,19.795,7918,0.5,55,0.442006318185,0.383795746033,4558.34207563,0.332920104852,40.9919888355,1207237.31963,132.256498644,0.079785325163,-0.586420772421,-0.239771417222,1.76231580688
5.1,19.77,7908,0.5,54,0.423589736597,0.38462000987,4562.36255708,0.333213742118,45.2278862015,1207284.54874,132.261672737,-0.215415915608,-0.393820939676,0.646764660249,1.1824078343
5.6,19.745,7898,0.5,62,0.494496990709,0.385518194098,4567.23404547,0.333569532974,50.1728561085,1207554.55718,132.291252978,-0.0734815133692,-1.09428167709,0.220405988315,3.28227092062
6.1,19.72,7888,0.5,80,0.594500783564,0.386469817817,4572.71088441,0.333969535817,56.1178639442,1207981.87767,132.338067229,-0.468168904486,-2.0850709294,1.40267117349,6.24703789451
6.6,19.695,7878,0.5,66,0.4558064245,0.387343640724,4577.23980243,0.334300306926,60.6759281892,1208156.11869,132.35715586,-0.0291462162624,-0.688999574525,0.0872288838975,2.06204000377
7.1,19.67,7868,0.5,74,0.577932923734,0.388276828185,4582.44312624,0.334680333497,66.4552574265,1208505.76174,132.395460313,-0.576005435222,-1.90122989437,1.72203917548,5.68396087864
7.6,19.645,7858,0.5,62,0.434811919821,0.389126042016,4586.62865724,0.334986025215,70.8033766247,1208584.45538,132.404081439,-0.162588193975,-0.461107314049,0.485579697592,1.37712551347
8.1,19.62,7848,0.5,61,0.40426260597,0.389943413004,4590.41385788,0.335262478665,74.8460026844,1208555.44447,132.400903207,-0.257425418778,-0.147281074978,0.768149178364,0.439481995485
