time,Lx,V,dt,events,P_impulse_proxy,P_IG,U,T,W_cum,PV_gamma(IG),T*V^(gamma-1),alpha_upper,alpha_IG,sigma_upper,sigma_IG
1,19.9,7960,0.5,86,0.700630196034,0.380690234249,4545.44139693,0.331977899279,28.0252078414,1208073.939,132.348152826,-0.169880443076,-12.8823608122,0.513294930463,38.9241420472
1.5,19.8,7920,0.5,92,0.761490518442,0.385117781882,4575.19924876,0.334151274377,58.484828579,1211905.8287,132.76794793,-0.701768907421,-15.143756666,2.10700547334,45.4679280383
2,19.7,7880,0.5,84,0.696856225119,0.389342055701,4602.02309838,0.336110363598,86.3590775838,1214903.21148,133.096320276,-1.05039938683,-12.3853094369,3.13429660096,36.9566412134
2.5,19.6,7840,0.5,90,0.76956562897,0.39383106848,4631.45336533,0.338259813419,117.141702743,1218531.45602,133.493805436,-1.35235821068,-15.1194569819,4.0107295867,44.8402301797
3,19.5,7800,0.5,91,0.70404888081,0.398172604124,4658.61946825,0.340243899229,145.303657975,1221506.30594,133.81970924,-0.995852314915,-12.32214675,2.93543659777,36.3215308047
3.5,19.4,7760,0.5,77,0.575176998886,0.402127198617,4680.7605919,0.341860983925,168.31073793,1223112.25374,133.995645678,-0.865956299497,-7.00129344404,2.5390708112,20.5284953002
4,19.3,7720,0.5,85,0.712029067522,0.406545379435,4707.79549386,0.343835487428,196.791900631,1225945.59278,134.306046536,-1.44626074536,-12.3079781971,4.21837009751,35.8992023769
4.5,19.2,7680,0.5,75,0.523438796617,0.410450734656,4728.39246324,0.345339794277,217.729452496,1227052.29123,134.427288698,-0.340582487001,-4.59782842422,0.988376966043,13.3429870347
5,19.1,7640,0.5,83,0.665197015516,0.414699847234,4752.4602493,0.347097593434,244.337333117,1229012.04624,134.641985784,-2.54009456011,-10.1051050683,7.33667651457,29.1870579134
5.5,19,7600,0.5,96,0.710224579683,0.419121098595,4777.98052398,0.348961475605,272.746316304,1231295.17494,134.892109437,-2.88870850259,-11.732819061,8.30018207098,33.7121361761
6,18.9,7560,0.5,105,0.790429755688,0.423789844177,4805.77683297,0.350991588736,304.363506531,1234109.05096,135.200378063,-3.82088123878,-14.759256565,10.9175355704,42.1721321525
6.5,18.8,7520,0.5,85,0.62085124903,0.427971250212,4827.51570239,0.352579294653,329.197556493,1235314.8525,135.332477268,-3.09518053701,-7.79904684779,8.79848956256,22.1698965432
7,18.7,7480,0.5,86,0.691147271874,0.432436320279,4851.93551353,0.354362804085,356.843447368,1237157.02704,135.534293059,-3.22607974366,-10.437988622,9.12685706344,29.5299675621
7.5,18.6,7440,0.5,82,0.647812026564,0.43678772089,4874.55096513,0.356014531488,382.75592843,1238488.50513,135.680160509,-3.29702945567,-8.52823266317,9.28247366735,24.0104300521
8,18.5,7400,0.5,85,0.701113622618,0.441105693049,4896.27319284,0.357601021972,410.800473335,1239544.70881,135.795870817,-6.32231719623,-10.4869026676,17.7191126667,29.3909027536
8.5,18.4,7360,0.5,79,0.586631270716,0.445440548004,4917.66364997,0.359163281476,434.265724164,1240469.54164,135.897189049,-2.07479370063,-5.73455142569,5.78933323171,16.0012193635
9,18.3,7320,0.5,92,0.734026884704,0.450069085036,4941.7585537,0.360923061182,463.626799552,1242026.84954,136.067796838,-5.26617165816,-11.4511386075,14.6265005908,31.8049042985
9.5,18.2,7280,0.5,86,0.740643827925,0.454705564291,4965.38476206,0.362648609557,493.252552669,1243414.4238,136.219809794,-5.99954475679,-11.5305136974,16.5831388912,31.8711032057
