time,Lx,V,P_impulse,P_IG,U,T,W_cum,PV_gamma(IG),T*V^(gamma-1),events,alpha_upper,alpha_IG,sigma_upper,sigma_IG
1274.2,13.6315,5452.6,1.04736822917,0.759929665539,6215.38874148,0.453943086582,1698.02912591,1283648.53809,140.627578669,126,-0.0808845786301,-0.287567320681,0.178196056346,0.633536866325
1274.7,13.629,5451.6,1.01584925221,0.760204591049,6216.49702285,0.454024030298,1699.04497516,1283720.44951,140.635456782,121,0.0924321136218,-0.255782137329,-0.203602337361,0.563417182348
1275.2,13.6265,5450.6,0.883770650096,0.760446567576,6217.33509184,0.45408523896,1699.92874581,1283736.50272,140.63721546,108,-0.0457016554139,-0.123445081021,0.100652326677,0.271872747477
1275.7,13.624,5449.6,0.897253247851,0.760691376386,6218.19558713,0.454148085534,1700.82599906,1283757.13394,140.639475673,110,-0.0367579581021,-0.136684286338,0.0809438656583,0.300989366173
1276.2,13.6215,5448.6,1.12953013734,0.760921537257,6218.93563184,0.454202134958,1701.9555292,1283752.84791,140.639006125,136,-0.389485423037,-0.368723689818,0.857566639498,0.81185358136
1276.7,13.619,5447.6,1.04494936611,0.761173312498,6219.85160575,0.454269033432,1703.00047857,1283784.82688,140.642509517,125,-0.128975462511,-0.283901952301,0.283939583331,0.625010373867
1277.2,13.6165,5446.6,1.00177614329,0.761404386303,6220.59769566,0.454323524369,1704.00225471,1283781.68999,140.642165862,112,-0.255686234146,-0.240487303251,0.56281824444,0.529362256353
1277.7,13.614,5445.6,0.883480755128,0.761624305716,6221.25197881,0.454371310167,1704.88573546,1283759.56141,140.639741609,109,-0.229197603871,-0.121966417684,0.504454510271,0.268443074722
1278.2,13.6115,5444.6,0.837527277598,0.761916593979,6222.49663136,0.454462213801,1705.72326274,1283859.19836,140.650657138,108,0.407125278222,-0.075756843179,-0.89592927084,0.166712255173
1278.7,13.609,5443.6,0.87333905405,0.762146129154,6223.228003,0.454515629784,1706.5966018,1283852.87287,140.649964162,114,-0.14196742111,-0.111307701721,0.312367176189,0.244907403424
1279.2,13.6065,5442.6,1.11153109221,0.762362247327,6223.84915095,0.454560995541,1707.70813289,1283823.76441,140.646775243,133,-0.490383139756,-0.349276912259,1.07885985866,0.768421280514
1279.7,13.604,5441.6,0.929689026796,0.762627873185,6224.87375209,0.454635827643,1708.63782191,1283877.82701,140.652697963,110,0.0949121113114,-0.167193978918,-0.208782320596,0.367783904771
1280.2,13.6015,5440.6,0.915516241525,0.762809829587,6225.21473828,0.454660731688,1709.55333816,1283790.85014,140.643169384,121,-0.574530053407,-0.152797396436,1.26368025373,0.336078246129
1280.7,13.599,5439.6,1.07508910873,0.763117054212,6226.57729214,0.454760246285,1710.62842726,1283914.49271,140.656714801,127,0.287464754563,-0.312125684238,-0.632192926104,0.68642728021
1281.2,13.5965,5438.6,0.973362860121,0.763396188982,6227.70977009,0.454842957208,1711.60179012,1283990.62114,140.665054902,115,0.159115094526,-0.210106252325,-0.349856055728,0.461973422077
1281.7,13.594,5437.6,1.00632973494,0.763662178572,6228.7341933,0.454917776315,1712.60811986,1284044.40736,140.670947345,116,0.0180934754499,-0.242800563545,-0.0397763385102,0.533767955898
1282.2,13.5915,5436.6,1.09831498228,0.763890562107,6229.45114493,0.454970139127,1713.70643484,1284034.7551,140.66988991,127,-0.381363357236,-0.334538621088,0.838264473599,0.735340288425
1282.7,13.589,5435.6,0.932804102921,0.764188434119,6230.73397875,0.455063831343,1714.63923895,1284141.68412,140.681604308,110,0.350029716786,-0.168764620882,-0.769267363953,0.370897409017
1283.2,13.5865,5434.6,0.927414800706,0.764441106665,6231.64745742,0.455130547577,1715.56665375,1284172.42462,140.684972022,115,-0.0139361258726,-0.163100041414,0.0306223070487,0.35838507728
1283.7,13.584,5433.6,1.1461780057,0.764750524711,6233.02267661,0.45523098719,1716.71283175,1284298.24971,140.698756541,133,0.229041176084,-0.381582207672,-0.503187288426,0.838309162018
1284.2,13.5815,5432.6,1.12579172887,0.765016483088,6234.04281903,0.455305493648,1717.83862348,1284350.84193,140.704518178,125,-0.105649302688,-0.360908237322,0.232059461452,0.792737567174
1284.7,13.579,5431.6,0.931458029581,0.765240798958,6234.72288543,0.455355162535,1718.77008151,1284333.3183,140.702598412,115,-0.251391633176,-0.166329397392,0.552108255626,0.365293913298
1285.2,13.5765,5430.6,0.942616727667,0.765512057233,6235.78466702,0.455432710124,1719.71269824,1284394.37309,140.709287148,114,0.119164861964,-0.177240312464,-0.261674239505,0.389202179311
1285.7,13.574,5429.6,0.951080886979,0.765667863339,6235.90534618,0.455441523969,1720.66377912,1284261.54795,140.694735753,103,-0.830401727109,-0.185490931705,1.8233070956,0.407281103718
1286.2,13.5715,5428.6,1.04161257458,0.765984650513,6237.33641067,0.455546042263,1721.7053917,1284398.54289,140.709743962,125,0.389451912767,-0.275786336356,-0.855010380389,0.605466740884
1286.7,13.569,5427.6,1.03358003693,0.766227203816,6238.16215715,0.455606350946,1722.73897174,1284410.82338,140.711089327,124,-0.207833553296,-0.267474119974,0.456199324822,0.587111710329
1287.2,13.5665,5426.6,1.05963233196,0.766500068831,6239.23391028,0.45568462681,1723.79860407,1284473.6979,140.717977421,128,0.0121207981484,-0.293268708685,-0.0266013785812,0.64363351738
1287.7,13.564,5425.6,0.981074853494,0.76676251022,6240.22001318,0.455756647179,1724.77967892,1284518.87784,140.72292702,106,0.00502804413436,-0.214443575941,-0.0110331719176,0.470559282449
1288.2,13.5615,5424.6,1.14846168486,0.767130883899,6242.0672892,0.455891563629,1725.92814061,1284741.24471,140.747287983,138,0.698814340053,-0.381515016088,-1.53307894815,0.836978587935
1288.7,13.559,5423.6,1.04626585559,0.767359584129,6242.77716072,0.455943409343,1726.97440646,1284729.43679,140.74599439,128,-0.336394333383,-0.279020630707,0.737840384181,0.611998089519
1289.2,13.5565,5422.6,0.897531058883,0.767705615343,6244.44070464,0.456064906853,1727.87193752,1284913.81969,140.766194094,114,0.766012852969,-0.129998482768,-1.67983742991,0.285081792478
1289.7,13.554,5421.6,0.994433436812,0.768045262788,6246.0512951,0.45618253689,1728.86637096,1285087.21387,140.78518995,121,0.616157025801,-0.226558020158,-1.35085503396,0.4967029981
