tag,chi_P_end_mech
N9128_dt0.100_v-0.0050,0.6014200076432148
N9128_dt0.100_v-0.0500,0.6050779136983453
N9128_dt0.100_v-0.2000,0.6667047863498332
N9128_dt0.200_v-0.0050,0.6021296593815877
N9128_dt0.200_v-0.0500,0.6278249658028203
N9128_dt0.200_v-0.2000,0.6116010379936903
N9128_dt0.500_v-0.0050,0.6058170541686174
N9128_dt0.500_v-0.0500,0.5961575432482089
N9128_dt0.500_v-0.2000,0.7019564439866961
