time,Lx,V,P_impulse,P_IG,U,T,W_cum,PV_gamma(IG),T*V^(gamma-1),events,alpha_upper,alpha_IG,sigma_upper,sigma_IG
0.7,19.999,7999.6,0.295330604488,0.376494799397,4517.71169588,0.329952650882,0.118132241795,1204682.96113,131.976660948,20,0.00749410122685,0.0324598191201,-0.0227129723142,-0.0983785714498
1.1,19.997,7998.8,0.467916604864,0.376566228376,4518.11692131,0.329982246663,0.492465525687,1204710.69288,131.979699045,51,0.0308921440957,-0.0731088742296,-0.0936217927271,0.221563898202
1.6,19.9945,7997.8,0.51287222146,0.376650844579,4518.56718716,0.330015131986,1.00533774715,1204730.33205,131.981850576,67,-0.0626063688059,-0.136263687513,0.189717022616,0.412921905212
2.1,19.992,7996.8,0.416642405177,0.376729412193,4518.94464514,0.330042699762,1.42198015232,1204730.53677,131.981873003,56,-0.0391844246412,-0.0399522789731,0.118730277125,0.121056904566
2.6,19.9895,7995.8,0.501939231473,0.376815617512,4519.41347175,0.330076940677,1.9239193838,1204755.07696,131.984561455,72,-0.0331126173711,-0.125166719245,0.100323078856,0.379224345338
3.1,19.987,7994.8,0.437149640863,0.376900133263,4519.86177811,0.330109682889,2.36106902466,1204774.12243,131.986647943,56,0.011156716101,-0.0602917679955,-0.0337986735955,0.182650680409
3.6,19.9845,7993.8,0.428815556419,0.376990394542,4520.37872384,0.3301474382,2.78988458108,1204811.43815,131.990735993,59,0.0881301715686,-0.0518702954126,-0.266957125501,0.157121502384
4.1,19.982,7992.8,0.462496578056,0.377079654204,4520.88339018,0.330184296683,3.25238115914,1204845.45416,131.99446255,67,0.042169762779,-0.0854615565029,-0.127722962721,0.258844311089
4.6,19.9795,7991.8,0.336371176111,0.377144697223,4521.0974869,0.330199933311,3.58875233525,1204802.01127,131.989703251,48,-0.122274456393,0.0407409980156,0.370313071814,-0.123385738681
5.1,19.977,7990.8,0.402644416697,0.377230867947,4521.56462939,0.330234051226,3.99139675194,1204825.9818,131.992329294,56,0.0644980753503,-0.0254566367285,-0.195320279878,0.0770906322947
5.6,19.9745,7989.8,0.536005722387,0.377321217526,4522.08159569,0.33027180804,4.52740247433,1204863.20242,131.996406926,69,-0.0190394260961,-0.158729682551,0.0576510437537,0.480630657015
6.1,19.972,7988.8,0.524649735869,0.377415542978,4522.64593461,0.330313024731,5.0520522102,1204913.01676,132.001864238,67,0.0396891913424,-0.147281358807,-0.12016379842,0.445912020683
6.6,19.9695,7987.8,0.503151389564,0.377501563331,4523.11048136,0.330346953065,5.55520359976,1204936.21763,132.004405964,66,-0.0386046401902,-0.125692839016,0.116866895189,0.380506896861
7.1,19.967,7986.8,0.439610702896,0.377581116889,4523.49729655,0.330375204247,5.99481430266,1204938.68804,132.004676604,63,-0.0527955123913,-0.0620693650187,0.159811538956,0.187883407062
7.6,19.9645,7985.8,0.396636827668,0.37765922096,4523.86651011,0.330402169888,6.39145113033,1204936.44884,132.004431293,57,-0.0274232733484,-0.0190166609021,0.0830030640328,0.0575584505355
8.1,19.962,7984.8,0.374156014473,0.377730229113,4524.15050013,0.330422911199,6.7656071448,1204911.49154,132.001697145,51,-0.0901659899605,0.0035387087442,0.272889127671,-0.0107099710513
8.6,19.9595,7983.8,0.423197253947,0.377809887536,4524.53787016,0.330451202904,7.18880439875,1204914.04818,132.001977233,63,-0.0358272272218,-0.0454271978644,0.108423757134,0.137476099896
