time,T,V,W,Q,p_mech,p_IG,sigma,dS_IG_win
12,0.467502547,7912,9.29626314,396.404576,0.0909676814,0.121011782,-0.0242385461,21.5796385
12.2,0.467959487,7910.4,9.51364556,397.233654,0.135864013,0.12115456,0.051800436,2.58692872
12.4,0.468515434,7908.8,9.67764864,398.760417,0.102501924,0.121323034,-0.0620684923,3.23316629
12.6,0.471837641,7907.2,9.82627521,409.332749,0.0928916063,0.122208049,-0.022862563,21.2920803
12.8,0.472491093,7905.6,9.82627521,411.717902,0,0.122402064,-0.411508481,3.83704797
13,0.474558386,7904,10.1862311,417.215866,0.224972424,0.122962497,0.373207512,12.997087
13.2,0.475699199,7902.4,10.3288609,420.594967,0.0891436621,0.123283048,-0.105936726,6.96144353
13.4,0.478140079,7900.8,10.5869058,427.402385,0.161278006,0.123940725,0.165149384,15.3078633
13.6,0.480698901,7899.2,10.9516974,434.290023,0.227994762,0.124629247,0.387771488,15.9815477
13.8,0.483808156,7897.6,11.0928569,443.533545,0.0882246806,0.125460786,-0.059389081,19.3914409
14,0.485309642,7896,11.4762185,447.273425,0.239601038,0.125875652,0.389712256,9.10415541
14.2,0.487924616,7894.4,11.8209702,454.582882,0.215469788,0.126579552,0.335807245,16.093262
14.4,0.490743266,7892.8,11.9753629,463.130901,0.0964954386,0.127336586,-0.0496446968,17.2801912
14.6,0.491225792,7891.2,12.2069324,464.177447,0.144730922,0.127487635,0.0576892481,2.60387187
14.8,0.494392582,7889.6,12.5732766,473.515349,0.228965126,0.128335531,0.389000583,19.3254341
15,0.496200507,7888,13.0677957,478.256316,0.309074466,0.128830963,0.601678467,10.7980157
15.2,0.495622836,7886.4,13.2758029,476.255857,0.130004501,0.128707087,0.0063155662,-3.99392837
15.4,0.49827113,7884.8,13.7194411,483.739327,0.277273843,0.129421073,0.518357259,15.9555752
15.6,0.501285533,7883.2,14.0188308,492.739026,0.187118576,0.130230461,0.237383241,18.1131383
15.8,0.503248803,7881.6,14.3717678,498.435532,0.220585605,0.130767046,0.309043919,11.5921881
