time,T,V,W_core,Q_hist,p_mech,p_IG,sigma
94,0.997941695,7975.2,6.77866129,55.7176494,0.275399643,0.256267503,0.0191104147
94.5,1.00092645,7974.8,6.85564059,62.9976968,0.192448272,0.257046869,-0.0121271931
95,1.00538775,7974.4,6.9432699,75.4469349,0.219073268,0.258205521,0.0147678338
95.5,1.00488844,7974,7.03392853,74.5644566,0.226646578,0.258090235,-0.0121346106
96,0.995250226,7973.6,7.14402056,44.1349891,0.275230063,0.255627629,0.151009918
96.5,0.990502788,7973.2,7.21793915,29.8750464,0.184796483,0.254421024,0.00705905977
97,0.988584844,7972.8,7.31670953,23.6784002,0.246925949,0.25394112,0.00293806817
97.5,0.985995493,7972.4,7.40777299,16.3914188,0.227658635,0.253288692,0.000179532808
98,0.986583441,7972,7.50759153,17.7752305,0.24954636,0.253452444,-0.00103537922
98.5,0.985779296,7971.6,7.63387625,14.9612745,0.315711793,0.253258568,0.0263658057
99,0.984247001,7971.2,7.72039816,10.9103555,0.216304773,0.252877592,-0.011141767
99.5,0.983309609,7970.8,7.85296531,7.77421829,0.331417888,0.25264943,0.0334397689
100,0.985023564,7970.4,7.96948504,12.7996876,0.291299333,0.253102512,0.0201694781
100.5,0.990083715,7970,8.09778744,28.2767386,0.320755988,0.254415489,0.0670630304
101,0.983589053,7969.6,8.18532298,9.10488362,0.218838855,0.252759283,0.0528841755
101.5,0.977214368,7969.2,8.26845794,-10.7610008,0.207837404,0.251133743,0.0473599126
102,0.974908206,7968.8,8.38631577,-17.9912999,0.294644574,0.25055366,0.0266742771
102.5,0.966722118,7968.4,8.48730354,-43.0711643,0.252469411,0.248462288,0.11118167
103,0.970943086,7968,8.56996977,-29.6991714,0.206665575,0.249559669,0.011444599
103.5,0.96989097,7967.6,8.68416521,-32.2187925,0.285488615,0.24930176,0.0167328443
104,0.970940283,7967.2,8.74076971,-26.9976803,0.141511239,0.249584007,-0.0427250832
104.5,0.971519201,7966.8,8.84596554,-25.5415351,0.262989574,0.249745359,0.0060011993
105,0.972076245,7966.4,8.94832795,-23.346427,0.255906024,0.249901103,0.00297813561
105.5,0.971739437,7966,9.05162147,-24.4195724,0.258233802,0.249827061,0.00364755617
106,0.975689596,7965.6,9.15135632,-12.2266402,0.249337131,0.250855214,0.0246249727
106.5,0.978098372,7965.2,9.23784074,-2.1579071,0.216211051,0.251487152,-0.00509272103
107,0.977656324,7964.8,9.36154488,-5.90964696,0.309260357,0.251386118,0.0239952747
107.5,0.981778941,7964.4,9.44843434,6.47313831,0.217223635,0.252458851,0.0128067869
108,0.991473866,7964,9.54893025,35.0333334,0.251239774,0.254964651,0.146329047
108.5,0.99221399,7963.6,9.71540709,36.5701626,0.41619212,0.255167795,0.0657728198
109,0.987890173,7963.2,9.83279202,22.7915546,0.293462313,0.2540686,0.0452921091
109.5,0.993087019,7962.8,9.93914318,40.1018025,0.26587791,0.25541797,0.0464256302
110,0.992943573,7962.4,10.0815041,38.1719981,0.355902239,0.255393906,0.0405236789
110.5,0.996319247,7962,10.1916019,47.6135455,0.275244581,0.256275034,0.0252909181
111,0.998339105,7961.6,10.3283067,53.940673,0.341762019,0.256807487,0.040336904
111.5,0.99148106,7961.2,10.43182,33.1653159,0.258783285,0.255056174,0.0746582142
112,0.990143934,7960.8,10.5780153,30.8299548,0.365488058,0.254725,0.04754748
112.5,0.993585467,7960.4,10.6968395,42.7102366,0.297060507,0.255623214,0.0351554448
113,0.995399478,7960,10.8167426,47.353461,0.299757802,0.25610278,0.0226527537
113.5,1.00081786,7959.6,10.9161064,63.0612334,0.248409452,0.257509796,0.0415500831
114,0.997417984,7959.2,11.0269618,52.0185159,0.277138566,0.256647908,0.0260264934
114.5,1.0021963,7958.8,11.1247296,67.3765487,0.244419518,0.257890389,0.0296543263
115,1.00622439,7958.4,11.23478,79.0900042,0.275126105,0.258939932,0.0311179153
115.5,1.00865273,7958,11.3471014,86.9807142,0.280803364,0.259577882,0.0173370221
